Африка	Afriko
Нордхакштет	Nordhackstedt
Залгаст	Sallgast
Весби	Weesby
Требиц (Бранденбург)	Tröbitz
Голдебек	Goldebek
3395 Jitka	3395 Jitka
Валсбил	Wallsbüll
Иџо	Iĝavoj
Рор ин Нидербајерн	Rohr in Niederbayern
Ретенбах (Округ Гинцбург)	Rettenbach (distrikto Günzburg)
Ретенберг	Rettenberg
Хаванген	Hawangen
Бухенберг	Buchenberg
Хаузен ам Тан	Hausen am Tann
Вутешинген	Wutöschingen
Брајтенбрун (Горњи Палатинат)	Breitenbrunn (Supra Palatinato)
Прем	Prem
Вајлен унтер ден Ринен	Weilen unter den Rinnen
Фолземенхузен	Volsemenhusen
Милхајм на Дунаву	Mühlheim an der Donau
Шензе	Schönsee
Остербуркен	Osterburken
Вадерн	Wadern
2440 Educatio	2440 Educatio
Нитенау	Nittenau
Харен (Емс)	Haren (Emso)
Волфштајн	Wolfstein
Теферот	Täferrot
Роналдо	Ronaldo
Берентал	Baerenthal
Балгхајм	Balgheim
Гунинген	Gunningen
Дирбхајм	Dürbheim
Венг (Изар)	Weng (Isar)
Егесхајм	Egesheim
Ирндорф	Irndorf
Дурхаузен	Durchhausen
Килентал	Kühlenthal
Еглхам	Egglham
Габлинген	Gablingen
Брајтенгисбах	Breitengüßbach
Кемерн	Kemmern
Пел (Баварска)	Pähl
Ленгенванг	Lengenwang
Рателсдорф	Rattelsdorf
Зимбах (Ландау)	Simbach (apud Landau)
Рајсбах	Reisbach (Bavario)
Независни Грци	Sendependaj Grekoj
Бургвиндхајм	Burgwindheim
Алдинген	Aldingen
Френсдорф	Frensdorf
Операција Анфал	Operaco Anfal
Дајлинген	Deilingen
Шванштетен	Schwanstetten
Гефел	Gefell
Ремптендорф	Remptendorf
Хелдрунген	Heldrungen
Вајсензе (Тирингија)	Weißensee (Turingio)
Грефентал	Gräfenthal
3305 Ceadams	3305 Ceadams
Зандау (Елбе)	Sandau (Elbo)
Хетенслебен	Hötensleben
Херцберг (Марк)	Herzberg (Mark)
Кројцбург	Creuzburg
Фрајбург (Унструт)	Freyburg (Unstrut)
Гебезе	Gebesee
Јибар	Jübar
NGC 231	NGC 231
Илсенбург (Харц)	Ilsenburg (Harco)
Фредрик Вертхам	Fredric Wertham
Рикерсдорф (Средња Франконија)	Rückersdorf (Meza Frankonio)
Штајнсдорф	Steinsdorf
704. п. н. е.	-704
Тамбах-Дитарц	Tambach-Dietharz
Орламинде	Orlamünde
Кихдорф	Kühdorf
Фридерсдорф (Тирингија)	Friedersdorf (Turingio)
Штатленгсфелд	Stadtlengsfeld
Дингелштет	Dingelstädt
Јерихов	Jerichow
Екартсберга	Eckartsberga
Ангерн	Angern
Вурцбах	Wurzbach
Кинделбрик	Kindelbrück
Копенграве	Coppengrave
Штраусфурт	Straußfurt
Барби	Barby (Elbo)
Косвиг (Анхалт)	Coswig (Anhalto)
Михелн (Гајзелтал)	Mücheln (Geiseltal)
2780 Monnig	2780 Monnig
Бад Либенштајн	Bad Liebenstein
2742 Гибсон	2742 Gibson
Барца (Римавска Собота)	Barca (distrikto Rimavská Sobota)
Вегшајд	Wegscheid (Malsupra Bavario)
Хофкирхен (Дунав)	Hofkirchen (Danubo)
2699 Kalinin	2699 Kalinin
Софија (вишезначна одредница)	Sofio (nomo)
Еминген-Липтинген	Emmingen-Liptingen
Бишберг	Bischberg
Њижни Комарњик	Nižný Komárnik
Хаузен об Ферена	Hausen ob Verena
Џеси Џејмс (ТВ-личност)	Jesse G. James
Присендорф	Priesendorf
Ангара (ракета-носач)	Angara (raketo)
3157 Новиков	3157 Novikov
Пилишверешвар	Pilisvörösvár
Јускова Воља	Juskova Voľa
2227 Otto Struve	2227 Otto Struve
Шанвалон	Champvallon
Крајлинг	Krailling
Земерда	Sömmerda
Valverde	Valverde
2815 Soma	2815 Soma
Златни век шпанске књижевности	Hispana ora epoko
NGC 4945	NGC 4945
Оденбах	Odenbach (setlejo)
Ипеншид	Ippenschied
2172 Plavsk	2172 Plavsk
Дудинце	Dudince
Харсум	Harsum
Либоховани	Libochovany
Хајсдорф	Heisdorf
Халбе	Halbe
Шенберг (Горња Баварска)	Schönberg (Supra Bavario)
Метенхајм (Баварска)	Mettenheim (Bavario)
Легебрух	Leegebruch
Бух (Швабија)	Buch (Ŝvabio)
Бухбах (Горња Баварска)	Buchbach (Supra Bavario)
Мелсбах	Melsbach
Обернојкирхен (Горња Баварска)	Oberneukirchen (Supra Bavario)
Гарс ам Ин	Gars am Inn
Кака (фудбалер)	Kaká
Локирхен	Lohkirchen
Крајња нужда	Sufiĉa kondiĉo
Трајн (Доња Баварска)	Train
4604 Stekarstrom	4604 Stekarstrom
Фризенрид	Friesenried
Отишан	Autichamp
Валдштетен (Осталбкрајс)	Waldstetten (distrikto Ostalb)
Грос Дратов	Groß Dratow
Бурген	Burggen
Фројденберг (Горњи Палатинат)	Freudenberg (Supra Palatinato)
Рајнау	Rainau
Долње Стрхаре	Dolné Strháre
Бисенхофен	Biessenhofen
Гермаринген	Germaringen
Ламердинген	Lamerdingen
Тупа	Tupá
Мисен-Вилхамс	Missen-Wilhams
Антдорф	Antdorf
Оберхаузен (Пајсенберг)	Oberhausen (apud Peißenberg)
Ринов	Rhinow
Фишен им Алгој	Fischen (Algovio)
Агидел	Agudelle
Ремлинген (Доња Франкофонија)	Remlingen (Malsupra Frankonio)
Ајзенберг (Алгој)	Eisenberg (Algovio)
Округ Дјетва	Distrikto Detva
Ленгрис	Lenggries
Бајелса	Bayelsa
Малберг	Mahlberg
3507 Vilas	3507 Vilas
Свати Јан под Скалом	Svatý Jan pod Skalou
Мајсбург	Meisburg
Хоргау	Horgau
Ротлебен	Rottleben
Лангенарген	Langenargen
Лом на Римавици	Lom nad Rimavicou
Нидерфилбах	Niederfüllbach
Шилда (Бранденбург)	Schilda (Brandenburgio)
Етрен (Север)	Étrœungt
Отобојрен	Ottobeuren
Тренчинске Тјеплице	Trenčianske Teplice
2932 Кемпчински	2932 Kempchinsky
Кирхен (Зиг)	Kirchen (Sieg)
Рупертсхофен (Виртемберг)	Ruppertshofen (Virtembergo)
Фухсмил	Fuchsmühl
3246 Bidstrup	3246 Bidstrup
Башка (Кошице-околина)	Baška (distrikto Košice-ĉirkaŭaĵo)
Индијска православна црква	Malankara Ortodoksa Eklezio
Грабфелд	Grabfeld
Ридеринг	Riedering
2473 Heyerdahl	2473 Heyerdahl
Фелдкирхен-Вестерхам	Feldkirchen-Westerham
Варнгау	Warngau
Госхајм	Gosheim
Калау	Calau
Денкинген	Denkingen
Флинтсбах ам Ин	Flintsbach am Inn
Зехтенау	Söchtenau
Прутинг	Prutting
Гроскаролиненфелд	Großkarolinenfeld
Валдашаф	Waldaschaff
Банатски Двор	Banatski Dvor
Лангенбах (Горња Баварска)	Langenbach (Bavario)
Рајхерсбојерн	Reichersbeuern
Слатинске Лази	Slatinské Lazy
Минсинг	Münsing
Урзензолен	Ursensollen
Римстинг	Rimsting
Штепханскирхен	Stephanskirchen
Браненбург	Brannenburg
Бојтелсбах	Beutelsbach
Гајзенхаузен	Geisenhausen
Петерсхаузен	Petershausen
Хатенхофен (Баварска)	Hattenhofen (Bavario)
Пуленројт	Pullenreuth
Туцинг	Tutzing
Бокхорн (Горња Баварска)	Bockhorn (Supra Bavario)
Лутеран	Lutheran
Хоенпајсенберг	Hohenpeißenberg
Залдорф-Зурхајм	Saaldorf-Surheim
Замерберг	Samerberg
Административна подела Норвешке	Administra divido de Norvegio
Киздорф	Kisdorf
4950 House	4950 House
Хедвигенког	Hedwigenkoog
Нордајх (Дитмаршен)	Norddeich (Dithmarschen)
Касос	Kasos
Елперсбител	Elpersbüttel
Вестердајхстрих	Westerdeichstrich
Епенверден	Epenwöhrden
Веселбуренерког	Wesselburenerkoog
Цислајтанија	Cislajtio
Фолкмарзен	Volkmarsen
Клајн Офенсет-Шпарисхоп	Klein Offenseth-Sparrieshoop
Федеринген	Fedderingen
Кајзер-Вилхелм-Ког	Kaiser-Wilhelm-Koog
Кренинг	Kröning
Хоберг	Hohberg
Нордрах	Nordrach
Вељке Дравце	Veľké Dravce
Ангелбург	Angelburg
Отенхефен им Шварцвалд	Ottenhöfen im Schwarzwald
Боднег	Bodnegg
Штрасберг (Цолерналбкрајс)	Straßberg (distrikto Zollernalb)
Бидербах	Biederbach
Волфег	Wolfegg
2937 Гибс	2937 Gibbs
Флајшванген	Fleischwangen
Бергатројте	Bergatreute
Еберсбах-Мусбах	Ebersbach-Musbach
Фронројте	Fronreute
Засбахвалден	Sasbachwalden
Раумбах	Raumbach
2654 Ristenpart	2654 Ristenpart
Хесиш Олдендорф	Hessisch Oldendorf
Винден им Елцтал	Winden im Elztal
Ебенвајлер	Ebenweiler
Фелдберг (Шварцвалд)	Feldberg (Nigra Arbaro)
Мерен (Валмерод)	Mähren (Westerwald)
Гринкраут	Grünkraut
Ибах (Шварцвалд)	Ibach (Nigra Arbaro)
Олсбах	Ohlsbach
Шутервалд	Schutterwald
Дамфлет	Dammfleth
Унтервалдхаузен	Unterwaldhausen
Вајсвајл	Weisweil
Указ	Ukazo
Гугенхаузен	Guggenhausen
Малињец	Málinec
Хоргенцел	Horgenzell
Енгелсберг	Engelsberg
Вонеберг	Wonneberg
Ешбах (Маркгрефлерланд)	Eschbach (Markgräflerland)
Хитисхајм	Hüttisheim
Штајнхаузен ан дер Ротум	Steinhausen an der Rottum
Херолдштат	Heroldstatt
Нојрид (Баден)	Neuried (Badeno)
Хохдорф (Рис)	Hochdorf (Riß)
Брајтнау	Breitnau
Местиско	Mestisko
Фаренбах	Fahrenbach
Хеминген (Доња Саксонија)	Hemmingen (Malsupra Saksio)
Басен Мари—Дарлинг	Baseno Murray Darling
Хепфинген	Höpfingen
Оберхајд (Горња Франонија)	Oberhaid (Supra Frankonio)
Елцтал (Оденвалд)	Elztal (Odenwald)
2240 Tsai	2240 Tsai
Мемелсдорф	Memmelsdorf
Хахенбург	Hachenburg
Бад Маринберг (Вестервалд)	Bad Marienberg (Westerwald)
2020е	2020-aj jaroj
Бад Тенштет	Bad Tennstedt
Остхајм вор дер Рен	Ostheim vor der Rhön
Хрчељ	Hrčeľ
Феринген (Илер)	Vöhringen (Ŝvabio)
Ренхен	Renchen
Набург	Nabburg
A3 (Италија)	Itala aŭtovojo A3
Грединг	Greding
Добел	Dobel
Емертал	Emmerthal
Леренштајнсфелд	Lehrensteinsfeld
Нојгернсдорф	Neugernsdorf
Тојхерн	Teuchern
Тајхвиц	Teichwitz
Харт-Пелниц	Harth-Pöllnitz
Кемберг	Kemberg
Истанбулски вилајет	Provinco İstanbul
Ледерхосе (Тирингија)	Lederhose (komunumo)
Ecce homo	Jen homo
Валтенхофен	Waltenhofen
Есон (река)	Essonne (rivero)
Швара	Schwaara
4898 Nishiizumi	4898 Nishiizumi
Унтервесен	Unterwössen
Хинштетен	Hünstetten
Екити	Ekiti
4959 Niinoama	4959 Niinoama
Добринци	Dobrinci
Венцен	Weenzen
2330 Ontake	2330 Ontake
Нидерхозенбах	Niederhosenbach
Ардон (Јура)	Ardon (Jura)
Хрушов (Вељки Кртиш)	Hrušov (distrikto Veľký Krtíš)
Гунделфинген (Брајсгау)	Gundelfingen (Breisgau)
Гајзлинген (Цолерналб)	Geislingen (apud Balingen)
4535 Adamcarolla	4535 Adamcarolla
Јахенау	Jachenau
Ласкар	Laskár
Хохот	Hoĥoto
Јоахимстал (Барним)	Joachimsthal
Франкенштајн (Саксонија)	Frankenstein (Saksio)
Шалкау	Schalkau
Блауштајн	Blaustein
Вајлхајм у Горњој Баварској	Weilheim (Supra Bavario)
Умерштат	Ummerstadt
Бривији	Brusvily
Гомењи	Gommegnies
Ремхилд	Römhild
Јетинген	Jettingen
Вурмлинген (Тутлинген)	Wurmlingen (apud Tuttlingen)
Балоњ	Baloň
2477 Biryukov	2477 Biryukov
Засбах ам Кајзерштул	Sasbach am Kaiserstuhl
2010 Чебишев	2010 Chebyshev
Родалбен	Rodalben
3713 Pieters	3713 Pieters
Бетинген	Böttingen
Некарцимерн	Neckarzimmern
Унтерајхенбах	Unterreichenbach
Нојбојерн	Neubeuern
Вигенсбах	Wiggensbach
Кирнах	Kürnach
Веслинг	Weßling
Гибелштат	Giebelstadt
Штедтлен	Stödtlen
Нусдорф ам Ин	Nußdorf am Inn
Гебенбах	Gebenbach
Валдбителбрун	Waldbüttelbrunn
Љуборјечка	Ľuboriečka
Валштет	Wahlstedt
Кремпел (Дитмаршен)	Krempel (Dithmarschen)
Тарбек	Tarbek
Хеме	Hemme
Фалендар	Vallendar
NGC 246	NGC 246
3583 Burdett	3583 Burdett
Нови Хрозенков	Nový Hrozenkov
Бицов	Bützow
Дасов	Dassow
742 Edisona	742 Edisono
Варин	Warin
Либтен	Lübtheen
Гнојен	Gnoien
Марлов	Marlow
Демиц	Dömitz
Шван	Schwaan
2278 Gotz	2278 Götz
Грабов (Елде)	Grabow (Elde)
Рерик	Rerik
Краков ам Зе	Krakow am See
Вајгендорф	Weigendorf
Ебхаузен	Ebhausen
Антон Мусерт	Anton Mussert
Ангелрода	Angelroda
4934 Rhoneranger	4934 Ronranĝero
Pomilovanje	Forpardono
Зегебит Мансфелдер Ланд	Seegebiet Mansfelder Land
Пренцлау	Prenzlau
Бернау им Шварцвалд	Bernau im Schwarzwald
Рајнсберг	Rheinsberg
Пољска уједињена радничка партија	Pola Unuiĝinta Laborista Partio
Лафборо	Loughborough
Рајтвајн	Reitwein
Фурт (Доња Баварска)	Furth (Malsupra Bavario)
Арабијска газела	Arabia gazelo
Ретенбах (Алгој)	Röthenbach (Algovio)
3505 Byrd	3505 Byrd
Вајлер-Зимерберг	Weiler-Simmerberg
Пфафенхофен (Виртемберг)	Pfaffenhofen (Virtembergo)
Вестербург	Westerburg
Чеминац	Čeminac
Бинау	Binau
Билигхајм	Billigheim
Вајл (Горња Баварска)	Weil (Supra Bavario)
Хасмерсхајм	Haßmersheim
Спишке Подхрадје	Spišské Podhradie
Чјерни Поток	Čierny Potok
Брезина (Требишов)	Brezina
Каролиненког	Karolinenkoog
Брисов	Brüssow
Бад Грунд (Харц)	Bad Grund (Harz)
Остераде	Osterrade
Дирдорф	Dierdorf
1974 Caupolican	1974 Caupolican
Венбител	Wennbüttel
3799 Новгород	3799 Novgorodo
ET	Et
Фрештет	Frestedt
Бад Хенинген	Bad Hönningen
Еденкобен	Edenkoben
Гунделсхајм (Виртемберг)	Gundelsheim (Virtembergo)
Лангенбретах	Langenbrettach
4591 Bryantsev	4591 Bryantsev
Еверзе	Oeversee
Праковце	Prakovce
Хиршајд	Hirschaid
Раублинг	Raubling
Хелшен-Херингсанд-Унтершар	Hellschen-Heringsand-Unterschaar
Брецфелд	Bretzfeld
